"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NAA50",-0.301817202882949,9.24301259985625,-4.12823305381784,0.00155377482875852,0.00695718609444746,-2.23412127627871
"PLBD2",-0.266626969242698,6.54810548084945,-4.12547316889915,0.00156122283780009,0.0069861276670033,-2.23907422049674
"RPL10",-0.210274652701685,9.01250110030683,-4.12431955556224,0.00156434704248587,0.00699569688753762,-2.24114471572259
"ACTR5",-0.277373749329771,5.15025768804492,-4.12371762971936,0.00156597975112224,0.00699858834616784,-2.24222509325994
"ALAD",0.136000917885129,8.17581149474088,4.1232108636994,0.00156735571419018,0.00700024004178749,-2.24313469603339
"RSBN1",-0.379878528255652,4.16760156159231,-4.12285523530913,0.00156832206093308,0.00700024004178749,-2.24377303276495
"AHSA1",-0.155632069223845,10.068014606369,-4.12182856224529,0.0015711153084175,0.00700529309999716,-2.24561592607205
"MAIP1",-0.189823564111119,8.95816231474924,-4.12171364025867,0.00157142829578632,0.00700529309999716,-2.2458222184646
"H1-10",-0.315686208485239,9.64609125921948,-4.11932441498385,0.00157794999243627,0.00702995046849982,-2.2501112932652
"ATXN3",-0.220937919664265,7.55133370794914,-4.11541862310559,0.00158867198837537,0.00707266724794768,-2.25712393950784
"OR4K3",-0.203386146220088,5.34673539715315,-4.11510674889882,0.00158953138797753,0.00707266724794768,-2.25768395059968
"GNAI1",-0.224170634171714,4.64458445358211,-4.11317022354503,0.00159487849403997,0.00709201295250731,-2.26116142505654
"CHMP1B",-0.248664603587423,9.76113446593703,-4.11245513007938,0.00159685772168814,0.00709446456619575,-2.262445621214
"DOLPP1",-0.423400839663547,5.02138256430814,-4.11192442170638,0.0015983282600014,0.00709446456619575,-2.26339871917834
"DDX41",-0.13714282251313,9.14322125839146,-4.11162179085566,0.00159916744880926,0.00709446456619575,-2.26394222415295
"TMEM102",0.254429935052031,6.74899319923302,4.11127367324415,0.00160013333760455,0.00709446456619575,-2.26456743014048
"YRDC",0.527700495340811,5.99473872003073,4.11116750401514,0.00160042803585732,0.00709446456619575,-2.26475810812338
"PSAP",-1.08502422771816,7.81381649585076,-4.11004451980184,0.00160354860366755,0.00710386044958091,-2.26677502680014
"STK10",0.144978840600428,10.0305972074108,4.10772181708028,0.00161002304521932,0.0071280932950228,-2.27094702728397
"PHF23",-0.180002731246299,6.16792777814199,-4.10659894267264,0.00161316274519561,0.00713754114878631,-2.27296408272771
"KIFBP",-0.186097391685145,9.27348555090291,-4.10509661649011,0.00161737339173646,0.00715171274838233,-2.27566292946091
"NIPBL",-0.291617463288,9.74421041702514,-4.1021620375942,0.00162563125156846,0.00718375155191865,-2.28093529958022
"TXNRD2",-0.181804739313254,8.75193701338649,-4.10007465862097,0.001631531751081,0.00720533966236583,-2.28468600961136
"FKRP",0.262658783688148,5.42082974616452,4.09818323662846,0.00163689754094828,0.00722454095031712,-2.28808493627926
"KIAA1522",-0.216870117156644,9.04584171127573,-4.09746032455728,0.00163895321462179,0.00722911806349957,-2.28938410588064
"DDOST",-0.340207801304693,8.8367819798178,-4.09435038314302,0.00164782727424834,0.00726374544431086,-2.2949735949642
"TRAPPC5",-0.171181308078403,8.35141410372134,-4.09315993517188,0.00165123735120099,0.0072737409027462,-2.29711340196243
"MTMR1",0.126607127557781,8.44501537360999,4.09267659612993,0.00165262398282849,0.0072737409027462,-2.29798222888274
"PMS1",-0.217034594949566,7.40198379866418,-4.09248655369826,0.00165316951896993,0.0072737409027462,-2.29832384542251
"C19orf53",-0.361628484125759,7.29849758946707,-4.09120994151826,0.00165683901541694,0.00728265481448482,-2.30061873796041
"ZNF532",-0.216014544394321,8.06634441161876,-4.09106791324263,0.00165724778433042,0.00728265481448482,-2.30087406260916
"EXD2",-0.232305858597446,8.42922214159095,-4.08709303587043,0.00166873038745777,0.00732857646026472,-2.30802040531493
"USO1",0.207363050897319,10.9366155904,4.08432199549155,0.00167678420408517,0.00735939239108993,-2.31300318756114
"ETFB",-0.166166424877176,9.96120374466343,-4.08016228027843,0.00168894994757144,0.00740820629042923,-2.32048424926103
"PTGR2",0.161600205085215,7.49295564259055,4.07384453761412,0.00170760276446399,0.00748539642952497,-2.33184920642
"RTKN2",0.278669613379797,6.59270862934157,4.07264757470284,0.00171116076859635,0.00749636294736316,-2.33400279359439
"ARMC10",0.167762821819238,9.20279238554131,4.07073951303952,0.0017168484536012,0.00751664002171974,-2.33743604357885
"ACAD8",-0.204702270086875,7.58889499384371,-4.06727666134713,0.00172722094907205,0.00755739030552674,-2.34366766212949
"HCFC1",-0.121551758892444,10.5349739072322,-4.06212405208395,0.00174277543900018,0.0076169191287079,-2.35294194646328
"SKA2",-0.852215330702029,2.46012048904427,-4.06205904122495,0.00174297261730613,0.0076169191287079,-2.35305897483531
"CAV1",-0.23976333871356,9.50977349431599,-4.05995185657136,0.00174937627429727,0.00764019902688474,-2.35685238212166
"HOMER2",0.218768254250428,7.66525625341094,4.05841738610014,0.00175405483519584,0.00765592076591937,-2.3596150050616
"SMARCC2",-0.156229403864907,10.1299041710268,-4.05769145941015,0.00175627268987848,0.00766088953907041,-2.36092201315615
"ARHGAP17",-0.180652328229767,9.53786378818227,-4.05650103485886,0.00175991598213376,0.00767206617027228,-2.36306542874632
"LRPAP1",-0.273022070682217,9.7273594188365,-4.05573095462078,0.00176227698860291,0.00767764259552782,-2.36445205655318
"PIH1D1",-0.173743259630304,6.93605848718612,-4.05113644157865,0.00177643188352108,0.00773456262414057,-2.37272607383295
"ATF1",-0.411142263645687,5.86772370297398,-4.05019657126195,0.00177934196714393,0.0077424831028942,-2.37441884959364
"TSC22D4",0.301544129623673,6.85436994071514,4.04839698712103,0.00178492776029479,0.00776202960466431,-2.37766023440977
"ARL6IP1",-0.382176693325309,4.21336952404205,-4.04710264170038,0.00178895657213079,0.0077747855434245,-2.37999175367261
"GOLGA5",0.140855974857159,9.90887302067126,4.0462895236762,0.00179149232794134,0.00777747112005538,-2.38145650219788
"PDE6D",-0.150756194641284,7.2716072772404,-4.04620174976989,0.00179176627889116,0.00777747112005538,-2.38161462107988
"UBN1",-0.268439953798741,7.32214416283765,-4.04560353524944,0.00179363452289451,0.00778082164363222,-2.38269228160867
"CARMIL1",0.121389342697931,11.4849634140961,4.04435675866116,0.00179753474655543,0.00778875012658583,-2.38493839521883
"ECD",-0.30811007943502,5.87046871652775,-4.04419998486635,0.0017980257959303,0.00778875012658583,-2.38522083786829
"ORC4",-0.243178307231419,8.55056583912552,-4.04396738395967,0.00179875460863381,0.00778875012658583,-2.38563989382139
"ZNF629",0.340841870974999,6.35058290509892,4.04306796970223,0.00180157564503285,0.00779620875170616,-2.38726032815812
"NUP210",-0.147398837902026,9.97597416441774,-4.04095856872432,0.00180820985753473,0.00782014951793054,-2.39106099822312
"PSMB8",0.197181739322758,9.1517348869425,4.0391357984066,0.00181396300867384,0.00784025302835458,-2.39434551341599
"DPM3",-0.286735277424826,3.3767412348591,-4.03871926965522,0.00181528034837159,0.0078411714135077,-2.39509610914414
"LCLAT1",0.159940588872045,8.64123035277664,4.03775642099457,0.00181832931335821,0.00784956395188758,-2.39683124119977
"CUTA",0.671871416163961,7.74607377107073,4.03719375189123,0.00182011352512728,0.00785248977983486,-2.3978452515281
"NHLRC3",-0.251106532804145,6.84662085999715,-4.03539601100305,0.00182582630392476,0.00787235071625397,-2.40108520885777
"ESRP2",-0.213688235953144,7.92758972747718,-4.03460580810287,0.00182834325614971,0.00787841656884912,-2.40250942490418
"CA13",0.158195364744278,7.72893714087621,4.03288593859315,0.00183383382911973,0.00789728075562059,-2.40560939155182
"SEMA6D",0.424382094697003,5.6041288735321,4.02542955450467,0.00185783638547714,0.00799117995890052,-2.41905183421134
"EIF3C",-0.154709302247767,10.6857397436767,-4.0254129415845,0.00185789022575537,0.00799117995890052,-2.41908178909527
"PDXK",0.167658875613602,9.18648662317734,4.02410351271702,0.00186213900594097,0.00800255876376854,-2.42144289932659
"RNH1",-0.21068417626898,8.92379344410394,-4.02390287748178,0.00186279090851707,0.00800255876376854,-2.42180468886042
"TGOLN2",-0.475729358883379,7.70618465213406,-4.01678410408947,0.00188607501063283,0.00809768563246292,-2.43464346826945
"CENPC",-0.129839291922408,7.23994541069472,-4.01356856544949,0.0018966911518543,0.00813834165943769,-2.44044403492621
"GRK6",-0.248489374727884,6.31440851593436,-4.01206737239526,0.00190166855527047,0.00815079805308946,-2.44315234146553
"SMIM15",-0.914929749437574,5.58301192382447,-4.012000329077,0.00190189116188758,0.00815079805308946,-2.44327329862217
"SPTBN2",0.165060477422401,9.36693478573782,4.00469202046446,0.00192631994951841,0.00825050855867963,-2.45646079326949
"CAPG",0.297490578517554,9.595242800073,4.00362600069824,0.00192991032267396,0.00825640841394906,-2.45838472279012
"GSTO1",0.111064561439029,10.5526632705801,4.00322449747514,0.00193126439025846,0.00825640841394906,-2.45910937003238
"ATP5PF",1.24688303812309,5.96506662313026,4.00305372083051,0.0019318406321147,0.00825640841394906,-2.45941759756231
"DDB1",-0.151681385339877,11.476783580919,-4.00290253889448,0.00193235090539233,0.00825640841394906,-2.45969046132056
"PABPC4",-0.143944546134763,10.326465332721,-3.99851188408734,0.00194723146950215,0.00831498299582237,-2.46761579493834
"MLF1",-0.498672721451274,4.09594694797743,-3.99612943025933,0.00195535561151594,0.00834465350266301,-2.47191685657636
"ZC3H13",-0.248732630007723,7.94662188210951,-3.99553920098148,0.00195737371140717,0.00834824593140426,-2.47298246944155
"LACTB2",0.114991642968057,10.0319150486586,3.99290850453285,0.00196639482163373,0.00838168411359434,-2.47773231196651
"AKAP1",-0.16036206708924,9.1388336793044,-3.99044946304779,0.00197486626201778,0.00841274061316938,-2.48217270342616
"WDR70",-0.175023340580365,8.40748089916946,-3.98964643442358,0.00197764089438637,0.00841950655516501,-2.48362286514493
"NUFIP2",-0.155338883385216,9.52092671973322,-3.98751624252077,0.00198502074269391,0.00844585863962749,-2.48746994378464
"STARD3",-0.592161972951483,7.73430961666488,-3.97293335265881,0.00203631418901928,0.00865891060483512,-2.51381555392658
"MEN1",-0.653297425158597,6.70851806546573,-3.96953419058766,0.00204846643999049,0.00870536905665419,-2.51995881643819
"USP39",-0.142941313736506,9.84576201496577,-3.96852133116309,0.00205210199414055,0.00871560015105655,-2.52178951121481
"NUP88",-0.130540005973788,9.44408181566481,-3.96733670925284,0.00205636255271523,0.00872847191185406,-2.52393075537156
"PAK2",0.103736550128188,10.122061206379,3.96643825524197,0.00205960000139612,0.00873457489528331,-2.52555481097728
"GSDMD",0.150828160320751,8.21309105559625,3.96625475868427,0.00206026185355844,0.00873457489528331,-2.5258865088017
