"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"POLD4",-0.48933462623664,5.24256761160046,-3.42323393120516,0.0054086361323212,0.0173609636504222,-3.57684493390477
"GNE",-0.126454478235432,8.88090322958477,-3.42058335302413,0.00543450269892558,0.0174361056303232,-3.58170167804082
"ZWILCH",-0.140377976013102,8.44658196400095,-3.42007261130239,0.00543950143294275,0.017444257419609,-3.58263753397562
"TOR1A",0.155937808429989,7.61614919497595,3.41935040817035,0.00544657779191389,0.0174590616934114,-3.58396086408201
"SMAP1",0.159456988401814,6.91043537710968,3.41666904540332,0.00547293285398735,0.017535622783182,-3.58887409898583
"KRT1",1.57790827367668,9.35030318523717,3.4105077829039,0.00553398587207829,0.017723239049702,-3.60016397764323
"PPIA",-0.156421030905058,9.36900408322681,-3.4100370587964,0.00553867883262199,0.0177302677830935,-3.601026541643
"STARD3",-0.508214054737852,7.73430961666488,-3.40970994522712,0.00554194243511035,0.0177327166194672,-3.60162595173948
"PNPO",-0.122164226315082,8.91843181871945,-3.40752994229063,0.00556374241516888,0.0177944479136789,-3.60562065415479
"GOLGA7",-0.208037866848019,7.49711848360093,-3.40707051922135,0.00556834778334972,0.0178011550533482,-3.60646251839338
"DDOST",-0.282980174565971,8.8367819798178,-3.40562439107147,0.00558286951953357,0.0178395429897027,-3.60911246652132
"ORC2",-0.113442774730714,8.66927986706395,-3.40287060434309,0.00561062940555298,0.0179201786189062,-3.61415865776328
"POLR2D",0.605159142823869,6.43196934032174,3.40020970359257,0.0056375866727699,0.0179981793147314,-3.61903467768228
"PDIA6",0.153718428502664,9.69021418806916,3.39737344310395,0.00566646593629356,0.0180822431429296,-3.6242320768357
"VSIR",0.161651039494676,7.24637425076201,3.39636274550667,0.00567679343894584,0.0181070575443589,-3.62608417177803
"CTBS",-0.175754435748344,7.56664262213179,-3.39599671463338,0.00568053834484931,0.018110862818237,-3.62675492138999
"ATL2",-0.135018959289882,8.45084533496844,-3.3944945963247,0.00569593309515999,0.0181457390349685,-3.62950755093695
"ERI3",-0.122747502167451,8.52172931775007,-3.39443049122957,0.00569659103422711,0.0181457390349685,-3.62962502363011
"EEF1G",0.161164484284269,10.4025414519224,3.39391381941151,0.00570189669626458,0.0181544911859084,-3.6305718261825
"RAP1GDS1",0.135013321925889,9.57302132487199,3.39335237424046,0.00570766784431211,0.018160721173515,-3.63160067719886
"UBE2B",-0.191330102323455,5.14276297972722,-3.39322565307022,0.00570897124673975,0.018160721173515,-3.63183289452752
"MRPL20",-0.254332733740055,8.21352262512014,-3.39223103884563,0.00571921198741664,0.0181851467180537,-3.63365553331848
"SLC25A12",0.141686848897384,9.38107943958915,3.39117266481365,0.00573012977924394,0.0182075533348433,-3.63559501638964
"NFIC",-0.162853785405853,7.67498590632073,-3.39105064027065,0.0057313899041905,0.0182075533348433,-3.63581862807466
"KLHL7",-0.210405227346318,7.41667623279886,-3.39012384806582,0.00574096994170835,0.0182298271482345,-3.63751698941447
"USP19",0.255545775730609,6.52004111428286,3.3890444039817,0.00575214848679198,0.0182571546559762,-3.63949509125674
"UBE2K",-0.147262466506531,8.40071341244263,-3.38679881963433,0.00577547453009621,0.0183229963075963,-3.64361017865037
"GIGYF1",-0.24617642513386,4.47923189058746,-3.38491344941054,0.00579513328809066,0.0183771496629041,-3.64706517570569
"IGSF3",-0.332202587419335,4.47384893831161,-3.38195707910112,0.00582609677995947,0.0184670874709122,-3.65248282929179
"ANXA3",0.160882830842162,10.5576892413433,3.37923628654803,0.00585474192648312,0.0185495997554691,-3.65746879349212
"FZD2",-0.236259404789266,6.08589854925446,-3.37874661177924,0.00585991255755806,0.018552295366164,-3.65836614392515
"PCNA",-0.184510138019943,10.3449876196118,-3.37866063062381,0.00586082093996614,0.018552295366164,-3.65852370818967
"ADNP",-0.131458786890928,10.7075785348976,-3.37601144834342,0.00588887971811826,0.0186328039944205,-3.66337845639172
"PSMA3",0.0929341840713889,9.64769917287853,3.37471020069939,0.00590271195310002,0.0186682472063952,-3.6657630552248
