"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CSRP2",0.0430023108703432,4.76706342215063,0.366946627482337,0.720373310522526,0.802336689387691,-7.797203448085
"SCRN3",0.0191504256672452,7.88294605638071,0.366332598609071,0.72081903151088,0.802707149950214,-7.79744510395667
"NDUFB2",0.0645408345510079,4.14258429340919,0.365007978557347,0.721780934550477,0.803623667270159,-7.79796507229778
"SH3BP1",-0.0217087558609403,8.40685450342106,-0.364857006589892,0.72189059806284,0.803623667270159,-7.79802421825641
"POLR3D",-0.0358860195445221,5.4112868879887,-0.364731521594225,0.721981753207628,0.803623667270159,-7.79807336104859
"UNC45A",0.0115371095127994,10.0766123284686,0.364020735986597,0.722498168604429,0.803985580057112,-7.79835140922641
"ACAD11",0.0227324475251063,8.71336345664042,0.363972156308201,0.722533469015677,0.803985580057112,-7.79837039348818
"KRTCAP2",0.0392578852476184,5.14347747758027,0.36280941419014,0.723378575370895,0.804720804300764,-7.79882403818344
"GMPPA",0.0148491772134403,9.08862758416451,0.362751078510228,0.723420985125951,0.804720804300764,-7.79884676052773
"DYNC2I2",0.0874998008220507,2.77285223214728,0.362014506923413,0.723956552051418,0.805124387882584,-7.79913335553866
"UROD",0.0141129037878986,8.57097146746581,0.361940066661448,0.724010686693906,0.805124387882584,-7.79916228806674
"PIGH",-0.0258872601274733,5.79306948977946,-0.361584555329424,0.724269244203442,0.805281251420162,-7.79930038365357
"LZTFL1",0.0457490299545986,7.68929392032584,0.361434094817834,0.724378682410358,0.805281251420162,-7.79935878891427
"CLINT1",-0.0118554743558068,10.1558258335762,-0.360658488150661,0.724942925283916,0.805782292989813,-7.79965948443124
"SH2D3A",-0.0307904925101052,4.82680731133971,-0.358683970797964,0.726380124182647,0.807253326233048,-7.80042213659043
"TAF8",-0.0365504335973421,3.24801359949733,-0.358497756288771,0.726515721383027,0.807277606803717,-7.8004938502474
"RNF41",-0.0567049373155966,5.79703088094038,-0.358309042680066,0.726653148304227,0.807303912572808,-7.80056648919423
"RPP40",0.0332464578043226,8.08545424976345,0.357404843941352,0.727311751593198,0.80783591056161,-7.80091401118355
"OTUB1",0.0180495200465307,7.85420835223815,0.357339090046496,0.727359654570761,0.80783591056161,-7.80093924970984
"JADE1",0.053193877228499,4.37087212341268,0.356841709565367,0.727722045022759,0.808029338704637,-7.80113001375384
"RPL21",0.0331632906276802,9.60850096225703,0.356787530998635,0.727761523601528,0.808029338704637,-7.80115077757044
"STIP1",0.0142568491554602,11.9679319669415,0.356417151291748,0.728031432095824,0.808166063991615,-7.8012926421949
"NSMCE4A",0.105499827173556,4.68264056132097,0.356306032672412,0.728112415550568,0.808166063991615,-7.80133517528515
"TMEM214",0.0160780288593454,9.76531054335038,0.354956050166918,0.729096560508131,0.809064458027663,-7.80185087465894
"NOP2",-0.0151773212467674,10.2486947584211,-0.354883012125995,0.729149820141599,0.809064458027663,-7.80187872092017
"ARFRP1",0.028898530205427,6.66270374774077,0.354432749131798,0.729478186517659,0.809302280712181,-7.80205026302927
"ICAM1",-0.0181048624306186,7.84736306021534,-0.353051134693958,0.730486117598552,0.810293838167696,-7.80257530345249
"SIRT3",0.0268160374661432,5.29470000561936,0.35279224741229,0.730675042905719,0.810331339933059,-7.80267346248325
"SPINT1",-0.0125526497278816,8.72173531620657,-0.352540823238844,0.730858539713813,0.810331339933059,-7.80276872438889
"STXBP6",-0.139821196670937,1.62720759440296,-0.352535446529896,0.730862463986404,0.810331339933059,-7.80277076084019
"CNBP",-0.042263712492967,7.77612395547989,-0.352174518011549,0.731125911436036,0.810392085297234,-7.8029073945561
"CACNB3",0.0646423432582464,3.23031794607614,0.3521475078455,0.731145628034126,0.810392085297234,-7.80291761406312
"RTCA",-0.0204297220729153,8.83280271996146,-0.35078570785868,0.73213996179073,0.811367474832731,-7.80343186752048
"WDR44",-0.0107405061507535,10.0613438054634,-0.348708308780301,0.733657782595034,0.812801192730082,-7.80421259455043
"PPP2CB",-0.0736516807795429,3.42452254844087,-0.348701531224525,0.733662736456095,0.812801192730082,-7.80421513425931
"CNKSR1",0.0381458915905304,2.90552015354328,0.348474914025694,0.733828383085615,0.812857817193477,-7.80430002521202
"PYCR1",-0.0201821368714761,9.69530409943751,-0.347205276936153,0.734756688899351,0.81375908569268,-7.80477463283443
"PHKG2",0.0242773135171879,7.96161666975631,0.347015823719342,0.734895247014594,0.813785546584892,-7.80484530760404
"KIAA0930",0.0248056963463359,7.30971289467292,0.346326216639866,0.735399679393225,0.814114474942845,-7.80510224383614
"CLTC",0.0132988921423696,12.2534890169466,0.34616018665168,0.735521146048431,0.814114474942845,-7.80516402912464
"QPCTL",0.0169782248591623,6.51432309828142,0.346139301946256,0.735536425719814,0.814114474942845,-7.80517179896503
"TOR1B",-0.0125962858683515,8.12054659561804,-0.344587464537334,0.736672113450506,0.815244345728714,-7.80574785233876
"NR2F6",0.0613466608762598,4.03006599062778,0.344227759729039,0.736935451185037,0.815408621306549,-7.80588101549889
"PRR12",0.0538225263000225,5.13238198514343,0.343632351347207,0.737371423218218,0.815763833293795,-7.80610113705823
"MANF",0.0261092641534759,9.42032929784145,0.34231334531431,0.738337572300579,0.81670538507126,-7.80658744215499
"DOCK7",-0.0129690568898368,9.9645039927633,-0.341851513760542,0.73867596702988,0.816792058435958,-7.80675728204384
"PA2G4",-0.00904489972095313,10.6916789818243,-0.341764390322702,0.738739810852078,0.816792058435958,-7.80678929675423
"ROGDI",-0.0282050233392397,4.82945068896113,-0.341735205150271,0.738761198126028,0.816792058435958,-7.80680001946128
